,Site,Bout,Date,Duration,SampRate,Stereo,BIO,ACI,NDSI,ADI,AEI,H,M
120,AR-2A,Bout_4,MINI8_20220401_071400.wav,300,24000,FALSE,88.23619788,8873.146292,0.931424814,2.251061,0.242819,0.862197244,1.23E-05
121,AR-2A,Bout_4,MINI8_20220401_081400.wav,300,24000,FALSE,86.45627053,8914.561681,0.888713466,2.245877,0.24921,0.868641248,1.06E-05
122,AR-2A,Bout_4,MINI8_20220401_091400.wav,300,24000,FALSE,101.5166533,8975.206182,0.536374833,1.994506,0.472099,0.875522793,1.23E-05
123,AR-2B,Bout_4,57I_0+1_20220328_153900.wav,300,24000,FALSE,42.74135833,8700.69241,0.908766871,2.394858,0.042357,0.904632174,1.07E-05
124,AR-2B,Bout_4,57I_0+1_20220328_163900.wav,300,24000,FALSE,37.45957824,8796.982536,0.946372323,2.395363,0.027813,0.904207972,9.20E-06
125,AR-2B,Bout_4,57I_0+1_20220328_173900.wav,300,24000,FALSE,34.40542576,8849.245727,0.943963419,2.394129,0.048538,0.907471838,7.74E-06
126,AR-2B,Bout_4,57I_0+1_20220328_183900.wav,300,24000,FALSE,55.86096691,8872.020739,0.990755309,1.588573,0.656551,0.877681735,1.36E-05
127,AR-2B,Bout_4,57I_0+1_20220328_193900.wav,300,24000,FALSE,37.3552969,8989.194897,0.98706929,2.395182,0.036202,0.862099152,1.44E-05
128,AR-2B,Bout_4,57I_0+1_20220329_041700.wav,300,24000,FALSE,25.78994668,8967.170209,-0.099019424,1.969666,0.458705,0.775047508,1.71E-05
129,AR-2B,Bout_4,57I_0+1_20220329_051700.wav,300,24000,FALSE,26.05146095,8994.462159,-0.064384744,2.024482,0.426815,0.787917323,1.50E-05
130,AR-2B,Bout_4,57I_0+1_20220329_061700.wav,300,24000,FALSE,32.43832103,9054.106922,-0.167937197,2.299236,0.238219,0.772140225,2.03E-05
131,AR-2B,Bout_4,57I_0+1_20220329_071700.wav,300,24000,FALSE,35.04121619,9064.434598,-0.402095063,0.948924,0.803419,0.711170484,3.34E-05
132,AR-2B,Bout_4,57I_0+1_20220329_081700.wav,300,24000,FALSE,70.78562571,9268.844891,0.838057631,2.177246,0.354529,0.843688532,2.60E-05
